,Province_State,Country_Region,Last_Update,Lat,Lng,Confirmed,Deaths,Recovered,Active,Incident_Rate
105,South Dakota,US,2020-06-30 04:33:48,43.71757685,-98.56050467,34,0,0,34,1235.9142130134496
106,Texas,US,2020-06-30 04:33:48,29.88548725,-96.27736949,69,0,0,69,229.75492807671813
107,Alabama,US,2020-06-30 04:33:48,32.53952745,-86.64408227,521,11,0,510,932.5386171221968
108,North Carolina,US,2020-06-30 04:33:48,36.07569796,-81.92308483,11,0,0,11,62.65307284843653
109,Louisiana,US,2020-06-30 04:33:48,31.07796211,-92.00079449,309,11,0,298,769.7289756875249
110,Colorado,US,2020-06-30 04:33:48,37.31940883,-102.5603223,14,0,0,14,390.9522479754258
111,Georgia,US,2020-06-30 04:33:48,31.55456473,-82.45936528,229,4,0,225,2051.236116087424
112,Texas,US,2020-06-30 04:33:48,34.06854817,-102.8299707,93,1,0,92,1328.5714285714287
113,Florida,US,2020-06-30 04:33:48,30.33060121,-82.28467476,57,4,0,53,195.13865114686752
114,Georgia,US,2020-06-30 04:33:48,31.32669878,-84.44218806,43,3,0,40,1415.4048716260697
115,Oregon,US,2020-06-30 04:33:48,44.70915557,-117.6749883,1,0,0,1,6.201935003721161
116,Alabama,US,2020-06-30 04:33:48,30.72774991,-87.72207058,626,9,0,617,280.4232330200597
117,Georgia,US,2020-06-30 04:33:48,33.06882326,-83.24701748,483,33,0,450,1075.9634662508354
118,Kentucky,US,2020-06-30 04:33:48,37.05842757,-88.99427697,14,0,0,14,177.4847870182556
119,Maryland,US,2020-06-30 04:33:48,39.45784712,-76.62911955,7929,470,0,7459,958.3378657674316
120,Maryland,US,2020-06-30 04:33:48,39.30211911,-76.61151012,7498,335,0,7163,1263.3742775783921
121,South Carolina,US,2020-06-30 04:33:48,33.21927586,-81.05659969,103,1,0,102,732.2621925209726
122,Texas,US,2020-06-30 04:33:48,29.74619598,-99.24598147,16,0,0,16,69.22810661128418
123,Georgia,US,2020-06-30 04:33:48,34.35607081,-83.49644388,130,0,0,130,675.8864510762191
124,Nebraska,US,2020-06-30 04:33:48,41.54634427,-103.7114332,1,0,0,1,134.2281879194631
125,Idaho,US,2020-06-30 04:33:48,42.67002716,-112.2233311,95,1,0,94,108.1905976676385
126,Michigan,US,2020-06-30 04:33:48,46.6720582,-88.36363591,5,0,0,5,60.9087586794981
127,Kansas,US,2020-06-30 04:33:48,37.2288586,-98.68460053,1,0,0,1,22.588660492432798
128,Alabama,US,2020-06-30 04:33:48,31.868263,-85.3871286,319,1,0,318,1292.230413999838
129,West Virginia,US,2020-06-30 04:33:48,39.1307219,-80.00350858,15,1,0,14,91.23532631835043
130,North Dakota,US,2020-06-30 04:33:48,46.93579637,-98.06605978,19,0,0,19,182.4291886701872
